xAxisColumn,yAxisColumn,name,award,medal,points,metal
1,16,Capital Group / American Funds,Portfolio Managers' Letters,1,3,Gold
2,16,Capital Group / American Funds,Macro Commentary,1,3,Gold
3,16,Capital Group / American Funds,White Papers,1,3,Gold
4,16,Capital Group / American Funds,Audio/Video,1,3,Gold
5,16,Capital Group / American Funds,Overall Content & Commentary,1,3,Gold
6,16,Capital Group / American Funds,Asset Managers: Best Sales and Relationship Management Teams,1,3,Gold
7,16,Capital Group / American Funds,Asset Managers: Best Product Lineup Management,1,3,Gold
1,15,First Trust,,1,3,Gold
2,15,First Trust,,1,3,Gold
3,15,First Trust,,1,3,Gold
4,15,First Trust,,1,3,Gold
5,15,First Trust,,1,3,Gold
6,15,First Trust,,1,3,Gold
7,15,First Trust,,1,3,Gold
1,14,"Blackstone Private WealthSolutions",,1,3,Gold
2,14,"Blackstone Private WealthSolutions",,1,3,Gold
3,14,"Blackstone Private WealthSolutions",,1,3,Gold
4,14,"Blackstone Private WealthSolutions",,1,3,Gold
1,13,Davis Advisors,,1,3,Gold
2,13,Davis Advisors,,1,3,Gold
3,13,Davis Advisors,,1,3,Gold
5,14,"Blackstone Private WealthSolutions",,2,2,Silver
4,13,Davis Advisors,,2,2,Silver
5,13,Davis Advisors,,2,2,Silver
1,12,Putnam Investments,,2,2,Silver
2,12,Putnam Investments,,2,2,Silver
3,12,Putnam Investments,,2,2,Silver
4,12,Putnam Investments,,2,2,Silver
5,12,Putnam Investments,,2,2,Silver
6,12,Putnam Investments,,2,2,Silver
7,12,Putnam Investments,,2,2,Silver
1,11,"Loomis, Sayles & Co.",,2,2,Silver
2,11,"Loomis, Sayles & Co.",,2,2,Silver
3,11,"Loomis, Sayles & Co.",,2,2,Silver
4,11,"Loomis, Sayles & Co.",,2,2,Silver
1,10,J.P. Morgan Asset Management,,2,2,Silver
2,10,J.P. Morgan Asset Management,,2,2,Silver
3,10,J.P. Morgan Asset Management,,2,2,Silver
4,10,J.P. Morgan Asset Management,,2,2,Silver
1,9,BlackRock / iShares,,2,2,Silver
2,9,BlackRock / iShares,,2,2,Silver
1,7,Fidelity Investments,,2,2,Silver
1,6,Vanguard,,2,2,Silver
6,14,"Blackstone Private WealthSolutions",,3,1,Bronze
7,14,"Blackstone Private WealthSolutions",,3,1,Bronze
6,13,Davis Advisors,,3,1,Bronze
7,13,Davis Advisors,,3,1,Bronze
1,11,"Loomis, Sayles & Co.",,3,1,Bronze
3,9,BlackRock / iShares,,3,1,Bronze
4,9,BlackRock / iShares,,3,1,Bronze
5,9,BlackRock / iShares,,3,1,Bronze
6,9,BlackRock / iShares,,3,1,Bronze
1,8,First Eagle Investment,,3,1,Bronze
2,8,First Eagle Investment,,3,1,Bronze
3,8,First Eagle Investment,,3,1,Bronze
4,8,First Eagle Investment,,3,1,Bronze
5,8,First Eagle Investment,,3,1,Bronze
6,8,First Eagle Investment,,3,1,Bronze
2,7,Fidelity Investments,,3,1,Bronze
3,7,Fidelity Investments,,3,1,Bronze
4,7,Fidelity Investments,,3,1,Bronze
2,6,Vanguard,,3,1,Bronze
1,5,Nationwide,,3,1,Bronze
2,5,Nationwide,,3,1,Bronze
1,4,DoubleLine,,3,1,Bronze
1,3,Pacific Funds,,3,1,Bronze
1,2,ARK Invest,,3,1,Bronze
1,1,Cohen & Steers,,3,1,Bronze
